State,State_Code,District,Tier
Jammu and Kashmir,JK,Samba, Tier-3 
Jammu and Kashmir,JK,Shopiyan, Tier-3 
Jammu and Kashmir,JK,Srinagar, Tier-2 
Jammu and Kashmir,JK,Udhampur, Tier-3 
Karnataka,KA,Bagalkote, Tier-3 
Karnataka,KA,Ballari, Tier-3 
Karnataka,KA,Belagavi, Tier-2 
Karnataka,KA,Bengaluru Rural, Tier-3 
Karnataka,KA,Bengaluru Urban, Tier-1 
Karnataka,KA,Bidar, Tier-3 
Karnataka,KA,Chikkaballapura, Tier-3 
Karnataka,KA,Chitradurga, Tier-3 
Karnataka,KA,Dakshina Kannada, Tier-2 
Karnataka,KA,Davanagere, Tier-3 
Karnataka,KA,Dharwad, Tier-2 
Karnataka,KA,Gadag, Tier-3 
Karnataka,KA,Kalaburagi, Tier-2 
Karnataka,KA,Kodagu, Tier-3 
Karnataka,KA,Mandya, Tier-3 
Karnataka,KA,Mysuru, Tier-2 
Karnataka,KA,Other State, Tier-3 
Karnataka,KA,Tumakuru, Tier-3 
Karnataka,KA,Udupi, Tier-3 
Karnataka,KA,Uttara Kannada, Tier-3 
Karnataka,KA,Vijayapura, Tier-3 
Kerala,KL,Alappuzha, Tier-3 
Kerala,KL,Ernakulam, Tier-2 
Kerala,KL,Idukki, Tier-3 
Kerala,KL,Kannur, Tier-2 
Kerala,KL,Kasaragod, Tier-3 
Kerala,KL,Kollam, Tier-2 
Kerala,KL,Kottayam, Tier-3 
Kerala,KL,Kozhikode, Tier-2 
Kerala,KL,Malappuram, Tier-2 
Kerala,KL,Palakkad, Tier-3 
Kerala,KL,Pathanamthitta, Tier-3 
Kerala,KL,Thiruvananthapuram, Tier-2 
Kerala,KL,Thrissur, Tier-2 
Kerala,KL,Wayanad, Tier-3 
Ladakh,LA,Kargil, Tier-3 
Ladakh,LA,Leh, Tier-3 
Maharashtra,MH,Ahmednagar, Tier-3 
Maharashtra,MH,Akola, Tier-3 
Maharashtra,MH,Amravati, Tier-2 
Maharashtra,MH,Aurangabad, Tier-2 
Maharashtra,MH,Beed, Tier-3 
Maharashtra,MH,Buldhana, Tier-3 
Maharashtra,MH,Chandrapur, Tier-3 
Maharashtra,MH,Dhule, Tier-3 
Maharashtra,MH,Gondia, Tier-3 
Maharashtra,MH,Hingoli, Tier-3 
Maharashtra,MH,Jalgaon, Tier-3 
Maharashtra,MH,Jalna, Tier-3 
Maharashtra,MH,Kolhapur, Tier-2 
Maharashtra,MH,Latur, Tier-3 
Maharashtra,MH,Mumbai, Tier-1 
Maharashtra,MH,Nagpur, Tier-2 
Maharashtra,MH,Nanded, Tier-2 
Maharashtra,MH,Nandurbar, Tier-3 
Maharashtra,MH,Nashik, Tier-2 
Maharashtra,MH,Osmanabad, Tier-3 
Maharashtra,MH,Other State, Tier-3 
Maharashtra,MH,Palghar, Tier-2 
Maharashtra,MH,Parbhani, Tier-3 
Maharashtra,MH,Pune, Tier-1 
Maharashtra,MH,Raigad, Tier-3 
Maharashtra,MH,Ratnagiri, Tier-3 
Maharashtra,MH,Sangli, Tier-2 
Maharashtra,MH,Satara, Tier-3 
Maharashtra,MH,Sindhudurg, Tier-3 
Maharashtra,MH,Solapur, Tier-2 
Maharashtra,MH,Thane, Tier-2 
Maharashtra,MH,Washim, Tier-3 
Maharashtra,MH,Yavatmal, Tier-3 
Meghalaya,ML,East Khasi Hills, Tier-3 
Manipur,MN,Imphal East, Tier-3 
Manipur,MN,Imphal West, Tier-3 
Madhya Pradesh,MP,Agar Malwa, Tier-3 
Madhya Pradesh,MP,Alirajpur, Tier-3 
Madhya Pradesh,MP,Barwani, Tier-3 
Madhya Pradesh,MP,Betul, Tier-3 
Madhya Pradesh,MP,Bhopal, Tier-2 
Madhya Pradesh,MP,Chhindwara, Tier-3 
Madhya Pradesh,MP,Dewas, Tier-3 
Madhya Pradesh,MP,Dhar, Tier-3 
Madhya Pradesh,MP,Dindori, Tier-3 
Madhya Pradesh,MP,Gwalior, Tier-2 
Madhya Pradesh,MP,Hoshangabad, Tier-3 
Madhya Pradesh,MP,Indore, Tier-2 
Madhya Pradesh,MP,Jabalpur, Tier-2 
Madhya Pradesh,MP,Khandwa, Tier-3 
Madhya Pradesh,MP,Khargone, Tier-3 
Madhya Pradesh,MP,Mandsaur, Tier-3 
Madhya Pradesh,MP,Morena, Tier-3 
Madhya Pradesh,MP,Other Region, Tier-3 
Madhya Pradesh,MP,Raisen, Tier-3 
Madhya Pradesh,MP,Ratlam, Tier-3 
Madhya Pradesh,MP,Sagar, Tier-3 
Madhya Pradesh,MP,Shajapur, Tier-3 
Madhya Pradesh,MP,Sheopur, Tier-3 
Madhya Pradesh,MP,Shivpuri, Tier-3 
Madhya Pradesh,MP,Tikamgarh, Tier-3 
Madhya Pradesh,MP,Ujjain, Tier-2 
Madhya Pradesh,MP,Vidisha, Tier-3 
Mizoram,MZ,Aizawl, Tier-3 
Odisha,OR,Balasore, Tier-3 
Odisha,OR,Bhadrak, Tier-3 
Odisha,OR,Cuttack, Tier-2 
Odisha,OR,Dhenkanal, Tier-3 
Odisha,OR,Jajpur, Tier-3 
Odisha,OR,Kalahandi, Tier-3 
Odisha,OR,Kendrapara, Tier-3 
Odisha,OR,Khordha, Tier-2 
Odisha,OR,Puri, Tier-3 
Odisha,OR,Sundargarh, Tier-2 
Punjab,PB,Amritsar, Tier-2 
Punjab,PB,Barnala, Tier-3 
Punjab,PB,Faridkot, Tier-3 
Punjab,PB,Fatehgarh Sahib, Tier-3 
Punjab,PB,Ferozepur, Tier-3 
Punjab,PB,Gurdaspur, Tier-3 
Punjab,PB,Hoshiarpur, Tier-3 
Punjab,PB,Jalandhar, Tier-2 
Punjab,PB,Kapurthala, Tier-3 
